,AVERAGE,ESG LAGGARD,ESG LEADER,country,date,industry,percent_rating,rating,rating_history
IID000000002168855,"Labor Management,Product Safety & Quality,Opportunities in Clean Tech","Chemical Safety,Controversial Sourcing",Corporate Governance,United Kingdom,"Oct-15,Dec-16,Dec-17,Dec-18,Nov-19","Electronic Equipment, Instruments & Components","7%,27%,18%,19%,22%,7%,1%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002168979,Carbon Emissions,"Responsible Investment,Privacy & Data Security","Corporate Governance,Human Capital Development",United Kingdom,"Apr-15,Apr-16,May-17,May-18,Oct-19",Asset Management & Custody Banks,"6%,19%,13%,19%,22%,19%,3%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BB,BB"
IID000000002169150,"Corporate Governance,Product Safety & Quality,Water Stress,Health & Safety",Packaging Material & Waste,Product Carbon Footprint,Netherlands,"Jun-15,Jun-16,Jun-17,Jul-18,Nov-19",Beverages,"6%,25%,15%,10%,21%,17%,6%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002169220,"Corporate Governance,Chemical Safety,Product Carbon Footprint,Raw Material Sourcing",nan,Opportunities in Nutrition & Health,Germany,"Jul-15,Jul-16,Sep-17,Jul-18,Aug-19",Household & Personal Products,"3%,8%,11%,19%,28%,22%,8%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002169765,"Corporate Governance,Controversial Sourcing",Opportunities in Clean Tech,Supply Chain Labor Standards,Sweden,"Dec-15,Nov-16,Aug-17,Aug-18,Jun-19",Household Durables,"4%,7%,29%,11%,21%,21%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002170324,"Product Safety & Quality,Chemical Safety",Supply Chain Labor Standards,"Corporate Governance,Water Stress",United Kingdom,"Nov-15,Oct-16,Nov-17,Nov-18,Mar-19",Tobacco,"17%,0%,25%,25%,8%,25%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,A,A"
IID000000002170530,"Corporate Governance,Responsible Investment","Human Capital Development,Carbon Emissions",nan,Sweden,"Feb-16,Feb-17,Feb-18,Mar-19,Feb-20",Diversified Financials,"0%,12%,14%,24%,29%,18%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002170550,"Human Capital Development,Opportunities in Clean Tech,Water Stress",nan,"Corporate Governance,Controversial Sourcing",Germany,"Nov-17,Jan-18,Feb-18,Feb-19,Feb-20",Semiconductors & Semiconductor Equipment,"9%,21%,21%,21%,14%,11%,4%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,AA,AA"
IID000000002171081,"Human Capital Development,Carbon Emissions",nan,"Corporate Governance,Privacy & Data Security",United Kingdom,"Aug-16,Mar-17,Apr-18,Jul-18,Jul-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AA"
IID000000002172765,"Carbon Emissions,Health & Safety",Toxic Emissions & Waste,"Corporate Governance,Opportunities in Clean Tech",Ireland,"Feb-16,Feb-17,Feb-18,Apr-19,Sep-19",Building Products,"5%,5%,5%,11%,32%,37%,5%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,AA,AA"
IID000000002172773,nan,"Human Capital Development,Carbon Emissions","Corporate Governance,Responsible Investment",Sweden,"Feb-16,Aug-16,Feb-17,Feb-18,Jul-19",Diversified Financials,"0%,12%,14%,24%,29%,18%,2%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002172927,"Corruption & Instability,Labor Management,Opportunities in Clean Tech",Corporate Governance,Toxic Emissions & Waste,Finland,"Jan-15,Jan-16,Feb-17,Feb-18,Mar-19",Industrial Machinery,"7%,11%,11%,25%,20%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,BBB"
IID000000002172935,"Product Safety & Quality,Product Carbon Footprint,Raw Material Sourcing",Labor Management,"Corporate Governance,Opportunities in Nutrition & Health",Netherlands,"Sep-15,Sep-16,Sep-17,Sep-18,Jul-19",Retail - Food & Staples,"4%,16%,24%,15%,16%,24%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,A,A,A"
IID000000002172937,"Privacy & Data Security,Carbon Emissions",Access to Communication,"Corporate Governance,Labor Management,Corruption & Instability",Netherlands,"Feb-16,Feb-17,Feb-18,Feb-19,Feb-20",Telecommunication Services,"2%,9%,20%,17%,28%,14%,10%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AAA"
IID000000002172940,Corporate Governance,nan,"Biodiversity & Land Use,Carbon Emissions,Health & Safety",Netherlands,"Oct-15,Oct-16,Oct-17,Mar-18,Jun-19","Oil & Gas Refining, Marketing, Transportation & Storage","0%,11%,20%,37%,26%,2%,4%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002173257,"Corporate Governance,Carbon Emissions,Toxic Emissions & Waste,Water Stress,Opportunities in Clean Tech",Chemical Safety,nan,Germany,"Jun-15,Jun-16,Aug-17,Aug-18,Aug-19",Diversified Chemicals,"0%,0%,44%,13%,25%,6%,13%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002173469,"Corporate Governance,Human Capital Development",nan,Opportunities in Green Building,United Kingdom,"Apr-15,Aug-16,Sep-17,Oct-18,Nov-19",Real Estate Management & Services,"1%,16%,12%,26%,20%,16%,10%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002174055,"Product Safety & Quality,Carbon Emissions",nan,"Corporate Governance,Corruption & Instability,Human Capital Development",Switzerland,"Feb-16,Feb-17,Nov-17,Dec-18,Jun-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002174156,"Corporate Governance,Carbon Emissions,Corruption & Instability",nan,"Biodiversity & Land Use,Health & Safety,Toxic Emissions & Waste",Sweden,"May-15,May-16,May-17,Jun-18,Oct-19",Oil & Gas Exploration & Production,"7%,22%,11%,22%,19%,11%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002174446,"Corporate Governance,Toxic Emissions & Waste",nan,"Corruption & Instability,Biodiversity & Land Use,Carbon Emissions,Health & Safety",Hungary,"Aug-15,Aug-16,Jul-17,Jul-18,Oct-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002174889,"Labor Management,Privacy & Data Security",nan,"Corporate Governance,Supply Chain Labor Standards,Chemical Safety,Product Safety & Quality,Product Carbon Footprint,Raw Material Sourcing",United Kingdom,"Apr-15,Apr-16,Mar-17,Mar-18,Sep-19",Retail - Consumer Discretionary,"1%,20%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002175370,nan,Corporate Governance,"Product Safety & Quality,Chemical Safety,Corruption & Instability,Human Capital Development,Access to Health Care,Toxic Emissions & Waste",Germany,"Sep-15,Sep-16,Sep-17,Sep-18,Jun-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002175544,Opportunities in Clean Tech,nan,"Corporate Governance,Corruption & Instability,Labor Management,Toxic Emissions & Waste",Finland,"Jan-16,Jan-17,Jan-18,Feb-19,Feb-20",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AAA"
IID000000002175996,Water Stress,Labor Management,"Corporate Governance,Biodiversity & Land Use,Carbon Emissions,Toxic Emissions & Waste,Raw Material Sourcing",United Kingdom,"Jul-15,Jul-16,Jul-17,Nov-18,Jun-19",Paper & Forest Products,"21%,7%,21%,14%,14%,7%,14%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AAA"
IID000000002177044,Toxic Emissions & Waste,nan,"Corporate Governance,Carbon Emissions,Health & Safety,Opportunities in Clean Tech",Finland,"Feb-15,Mar-16,Feb-17,Mar-18,Apr-19","Oil & Gas Refining, Marketing, Transportation & Storage","0%,11%,20%,37%,26%,2%,4%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002177288,"Labor Management,Privacy & Data Security,Supply Chain Labor Standards",nan,"Corporate Governance,Chemical Safety,Product Carbon Footprint,Raw Material Sourcing",United Kingdom,"May-16,Sep-16,Mar-17,Mar-18,Jun-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","A,A,AA,AA,AA"
IID000000002179360,"Opportunities in Green Building,Corruption & Instability",Product Safety & Quality,"Corporate Governance,Health & Safety",United Kingdom,"Mar-17,Jul-17,Sep-17,Sep-18,Jun-19",Real Estate Development & Diversified Activities,"8%,41%,21%,14%,4%,4%,7%","CCC,B,BB,BBB,A,AA,AAA","A,BBB,BBB,BBB,BBB"
IID000000002180578,"Corporate Governance,Corruption & Instability,Human Capital Development,Product Safety & Quality,Carbon Emissions",nan,nan,Netherlands,"Nov-15,Nov-16,Nov-17,Dec-18,Sep-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002180858,"Corporate Governance,Human Capital Development,Opportunities in Renewable Energy,Toxic Emissions & Waste,Water Stress",Carbon Emissions,nan,Germany,"Aug-15,Jul-16,Jul-17,Jul-18,Oct-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,AA,AA,A"
IID000000002181322,Carbon Emissions,"Chemical Safety,Labor Management","Corporate Governance,Health & Safety",United Kingdom,"Apr-15,May-16,May-17,May-18,Oct-19",Commercial Services & Supplies,"0%,15%,19%,23%,23%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002181334,"Carbon Emissions,Health & Safety,Toxic Emissions & Waste",nan,"Corporate Governance,Corruption & Instability,Biodiversity & Land Use",Spain,"Aug-15,Aug-16,Jul-17,Aug-18,Nov-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002181514,"Biodiversity & Land Use,Toxic Emissions & Waste,Water Stress",Labor Management,"Corporate Governance,Corruption & Instability,Health & Safety,Carbon Emissions",United Kingdom,"Nov-15,Nov-16,Dec-17,Dec-18,Sep-19",Metals and Mining - Non-Precious Metals,"16%,26%,22%,12%,19%,3%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,A,A"
IID000000002181589,Corruption & Instability,Product Safety & Quality,"Corporate Governance,Human Capital Development,Access to Health Care,Toxic Emissions & Waste",Switzerland,"Sep-15,Sep-16,Sep-17,Sep-18,Jun-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002181660,"Corruption & Instability,Opportunities in Clean Tech","Labor Management,Product Safety & Quality",Corporate Governance,United Kingdom,"Dec-15,Nov-16,Dec-17,Dec-18,Jul-19",Aerospace & Defense,"23%,8%,18%,18%,20%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002182041,Electronic Waste,Controversial Sourcing,"Corporate Governance,Supply Chain Labor Standards",France,"Aug-15,Aug-16,Aug-17,Aug-18,Nov-19",Household Durables,"4%,7%,29%,11%,21%,21%,7%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,AA"
IID000000002182324,"Corporate Governance,Human Capital Development,Water Stress",nan,"Opportunities in Clean Tech,Controversial Sourcing",Switzerland,"Jan-16,Jan-17,Jan-18,Feb-19,Feb-20",Semiconductors & Semiconductor Equipment,"9%,21%,21%,21%,14%,11%,4%","CCC,B,BB,BBB,A,AA,AAA","A,A,AA,AA,AA"
IID000000002182455,"Human Capital Development,Carbon Emissions",Opportunities in Clean Tech,"Corporate Governance,Privacy & Data Security",United Kingdom,"May-15,May-16,May-17,May-18,Mar-19",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002182638,"Opportunities in Clean Tech,Toxic Emissions & Waste",Labor Management,"Corporate Governance,Corruption & Instability",Sweden,"Jan-16,Feb-17,Feb-18,Feb-19,Feb-20",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002182746,"Corruption & Instability,Human Capital Development,Carbon Emissions",nan,"Corporate Governance,Product Safety & Quality",Germany,"Aug-15,Aug-16,Aug-17,Sep-18,Aug-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002182869,"Corporate Governance,Labor Management,Opportunities in Clean Tech",Corruption & Instability,Toxic Emissions & Waste,Switzerland,"Jan-15,Jan-16,Feb-17,Feb-18,May-19",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BB,BB,BB"
IID000000002182878,"Labor Management,Opportunities in Clean Tech",nan,"Corporate Governance,Corruption & Instability,Toxic Emissions & Waste",France,"Mar-15,Mar-16,Apr-17,Apr-18,Nov-19",Electrical Equipment,"6%,21%,33%,12%,15%,6%,6%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002183691,Labor Management,nan,"Corporate Governance,Corruption & Instability,Opportunities in Clean Tech",Germany,"Sep-16,Aug-17,Aug-18,Apr-19,Feb-20",Industrial Conglomerates,"3%,13%,34%,11%,24%,5%,11%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002183735,"Carbon Emissions,Chemical Safety,Water Stress,Opportunities in Clean Tech",nan,"Corporate Governance,Toxic Emissions & Waste",Switzerland,"Feb-15,Feb-16,Jul-17,Aug-18,Jul-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002183971,nan,nan,"Corporate Governance,Corruption & Instability,Health & Safety,Opportunities in Clean Tech",Sweden,"Apr-15,Apr-16,Jul-17,Aug-18,Jul-19",Construction & Engineering,"16%,42%,3%,5%,13%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002184065,"Human Capital Development,Carbon Emissions",Product Safety & Quality,"Corporate Governance,Corruption & Instability",United Kingdom,"Dec-15,Dec-16,Dec-17,Dec-18,Jun-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BBB,BBB,A"
IID000000002184086,"Carbon Emissions,Water Stress,Labor Management,Packaging Material & Waste",nan,"Corporate Governance,Chemical Safety,Raw Material Sourcing",Ireland,"Sep-15,Aug-16,Sep-17,Sep-18,Oct-19",Containers & Packaging,"0%,8%,31%,38%,15%,8%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,A,A"
IID000000002184092,"Corporate Governance,Carbon Emissions",nan,"Biodiversity & Land Use,Health & Safety",Italy,"Nov-15,Oct-16,Oct-17,Apr-18,Mar-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002184374,"Corruption & Instability,Carbon Emissions",Product Safety & Quality,"Corporate Governance,Human Capital Development",Switzerland,"Jul-16,Nov-16,Dec-17,Dec-18,Nov-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,AA"
IID000000002184622,"Labor Management,Toxic Emissions & Waste",Opportunities in Clean Tech,"Corporate Governance,Corruption & Instability",United Kingdom,"Jan-16,Jan-17,Jan-18,Jan-19,Jan-20",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","A,A,AA,AA,AA"
IID000000002184880,"Corporate Governance,Carbon Emissions",nan,"Corruption & Instability,Biodiversity & Land Use,Health & Safety,Toxic Emissions & Waste",Norway,"Aug-15,Aug-16,Jul-17,Aug-18,Jul-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002185048,"Product Safety & Quality,Human Capital Development,Carbon Emissions",Corruption & Instability,Corporate Governance,Switzerland,"Mar-15,Mar-16,Mar-17,Mar-18,Jun-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002185460,"Water Stress,Chemical Safety",nan,"Corporate Governance,Product Safety & Quality,Supply Chain Labor Standards",Sweden,"Nov-15,Oct-16,Nov-17,Nov-18,Jun-19",Tobacco,"17%,0%,25%,25%,8%,25%,0%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002185481,Human Capital Development,Opportunities in Green Building,Corporate Governance,Switzerland,"Sep-15,Sep-16,Sep-17,Oct-18,Aug-19",Real Estate Management & Services,"1%,16%,13%,24%,20%,16%,10%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,A,A"
IID000000002185484,"Privacy & Data Security,Carbon Emissions",Access to Communication,"Corporate Governance,Corruption & Instability,Labor Management",Switzerland,"Feb-15,Feb-16,Feb-17,Feb-18,Apr-19",Telecommunication Services,"2%,9%,22%,16%,28%,14%,9%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AAA,AAA,AAA"
IID000000002185975,"Corporate Governance,Labor Management,Privacy & Data Security,Carbon Emissions",Product Safety & Quality,Water Stress,Germany,"Sep-15,Aug-16,Apr-17,May-18,Aug-19",Hotels & Travel,"16%,16%,16%,21%,5%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,A,A,BBB,BB"
IID000000002186258,"Corporate Governance,Corruption & Instability,Biodiversity & Land Use",nan,Health & Safety,Turkey,"Sep-15,Oct-16,Oct-17,Oct-18,Nov-19",Transportation Infrastructure,"8%,28%,31%,15%,5%,3%,10%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002186274,Product Safety & Quality,nan,"Corporate Governance,Opportunities in Green Building,Corruption & Instability,Health & Safety",United Kingdom,"Mar-17,Jul-17,Sep-17,Sep-18,Jul-19",Real Estate Development & Diversified Activities,"8%,41%,21%,14%,4%,4%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002186408,"Corporate Governance,Access to Communication,Carbon Emissions",nan,"Corruption & Instability,Privacy & Data Security,Labor Management",Sweden,"Mar-16,Mar-17,Oct-17,Apr-18,Jul-19",Telecommunication Services,"2%,9%,22%,16%,28%,14%,9%","CCC,B,BB,BBB,A,AA,AAA","A,A,AA,AAA,AAA"
IID000000002186438,"Human Capital Development,Opportunities in Clean Tech,Supply Chain Labor Standards,Controversial Sourcing",nan,Corporate Governance,Sweden,"Aug-15,Aug-16,Aug-17,Sep-18,Jul-19","Technology Hardware, Storage & Peripherals","9%,20%,9%,30%,22%,9%,0%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,A,A"
IID000000002186444,"Corporate Governance,Privacy & Data Security,Carbon Emissions",Labor Management,"Corruption & Instability,Access to Communication",Spain,"Feb-16,Feb-17,Feb-18,Feb-19,Feb-20",Telecommunication Services,"2%,9%,20%,17%,27%,15%,10%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,A,A"
IID000000002186464,"Human Capital Development,Carbon Emissions",nan,"Corporate Governance,Privacy & Data Security",France,"Aug-15,Aug-16,Aug-17,Aug-18,May-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AAA,AAA"
IID000000002186484,"Privacy & Data Security,Labor Management,Carbon Emissions",Access to Communication,"Corporate Governance,Corruption & Instability",Sweden,"Feb-17,Apr-17,Feb-18,Mar-19,Feb-20",Telecommunication Services,"2%,9%,20%,17%,28%,14%,10%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002186512,"Corporate Governance,Human Capital Development,Privacy & Data Security,Opportunities in Clean Tech,Access to Finance,Carbon Emissions",nan,nan,Switzerland,"Mar-15,Mar-16,Feb-17,Feb-18,Jun-19",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BBB,BBB,A"
IID000000002186840,nan,"Corruption & Instability,Labor Management","Corporate Governance,Carbon Emissions,Health & Safety,Toxic Emissions & Waste,Water Stress",Germany,"Nov-16,Nov-17,Dec-18,Apr-19,Feb-20",Steel,"35%,24%,5%,16%,11%,8%,0%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,A,A,A"
IID000000002187773,"Carbon Emissions,Labor Management,Toxic Emissions & Waste,Raw Material Sourcing",nan,"Corporate Governance,Water Stress,Biodiversity & Land Use",Finland,"Jul-15,Jul-16,Jul-17,Jun-18,Jun-19",Paper & Forest Products,"21%,7%,21%,14%,14%,7%,14%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AAA,AAA"
IID000000002187964,"Chemical Safety,Opportunities in Nutrition & Health,Water Stress",Product Safety & Quality,"Corporate Governance,Product Carbon Footprint,Raw Material Sourcing",Netherlands,"Jul-16,Apr-17,Jul-17,Jul-18,Sep-19",Household & Personal Products,"3%,8%,11%,19%,28%,22%,8%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002188105,"Corruption & Instability,Labor Management,Carbon Emissions","Corporate Governance,Privacy & Data Security,Access to Communication",nan,Germany,"May-15,May-16,May-17,Feb-18,Sep-19",Telecommunication Services,"2%,9%,22%,16%,28%,14%,9%","CCC,B,BB,BBB,A,AA,AAA","B,B,B,B,B"
IID000000002188739,nan,nan,"Corporate Governance,Labor Management,Opportunities in Clean Tech,Corruption & Instability,Toxic Emissions & Waste",Denmark,"Mar-16,Apr-17,Apr-18,Aug-19,Feb-20",Electrical Equipment,"6%,21%,30%,12%,15%,9%,6%","CCC,B,BB,BBB,A,AA,AAA","AA,AAA,AAA,AAA,AAA"
IID000000002189051,"Privacy & Data Security,Carbon Emissions",Labor Management,"Corporate Governance,Corruption & Instability,Access to Communication",United Kingdom,"Mar-15,Mar-16,Mar-17,Apr-18,Sep-19",Telecommunication Services,"2%,9%,22%,16%,28%,14%,9%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AA,AA"
IID000000002189667,"Corporate Governance,Privacy & Data Security","Human Capital Development,Carbon Emissions",nan,Germany,"Feb-15,Feb-16,Jan-17,Jan-18,Mar-19",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BBB,BBB"
IID000000002199527,Product Safety & Quality,nan,"Corporate Governance,Opportunities in Green Building,Corruption & Instability,Health & Safety",United Kingdom,"Mar-16,Mar-17,Oct-17,Oct-18,Nov-19",Real Estate Development & Diversified Activities,"8%,41%,21%,14%,4%,4%,7%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002201191,"Health & Safety,Labor Management",Toxic Emissions & Waste,"Corporate Governance,Carbon Emissions",Ireland,"May-15,Jun-16,May-17,May-18,Nov-19",Construction Materials,"19%,19%,19%,19%,6%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","BBB,BB,BBB,BBB,BBB"
IID000000002203350,"Corporate Governance,Labor Management,Product Safety & Quality","Opportunities in Nutrition & Health,Product Carbon Footprint,Raw Material Sourcing",nan,Russia,"Jul-18,Aug-19",Retail - Food & Staples,"4%,16%,24%,15%,16%,24%,2%","CCC,B,BB,BBB,A,AA,AAA","B,B"
IID000000002226401,Human Capital Development,nan,"Corporate Governance,Carbon Emissions,Opportunities in Renewable Energy,Toxic Emissions & Waste,Water Stress",Denmark,"Dec-15,Jun-16,Jul-17,Jul-18,Jul-19",Utilities,"7%,13%,18%,18%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AAA,AAA,AAA"
IID000000002232880,"Carbon Emissions,Human Capital Development,Responsible Investment,Insuring Health & Demographic Risk","Labor Management,Access to Finance","Corporate Governance,Privacy & Data Security",Italy,"Jul-16,Apr-17,Apr-18,Nov-19",Life & Health Insurance,"4%,15%,31%,25%,15%,6%,4%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,BB,BBB"
IID000000002236453,"Health & Safety,Opportunities in Clean Tech,Toxic Emissions & Waste",Labor Management,Corporate Governance,Germany,Apr-19,Construction & Farm Machinery & Heavy Trucks,"13%,22%,9%,13%,28%,9%,6%","CCC,B,BB,BBB,A,AA,AAA",A
IID000000002257126,nan,Labor Management,"Corporate Governance,Health & Safety,Corruption & Instability,Carbon Emissions",Denmark,"Mar-16,Feb-17,Apr-17,Apr-18,Jul-19",Commercial Services & Supplies,"0%,15%,19%,23%,23%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002278131,"Corporate Governance,Carbon Emissions,Chemical Safety,Toxic Emissions & Waste,Water Stress,Opportunities in Clean Tech",nan,nan,Germany,"Jan-15,Feb-16,Feb-17,Apr-18,Jul-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002278140,"Carbon Emissions,Health & Safety",Corporate Governance,"Biodiversity & Land Use,Corruption & Instability,Toxic Emissions & Waste",Norway,"Jul-15,Jun-16,Jun-17,Jun-18,Jul-19",Oil & Gas Exploration & Production,"7%,22%,11%,22%,19%,11%,7%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,A,A,A"
IID000000002390745,Raw Material Sourcing,"Product Safety & Quality,Opportunities in Nutrition & Health","Corporate Governance,Chemical Safety,Product Carbon Footprint",United Kingdom,"Jul-15,May-16,Aug-17,Jul-18,Aug-19",Household & Personal Products,"3%,8%,11%,19%,28%,22%,8%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002416719,Labor Management,Product Carbon Footprint,"Corporate Governance,Controversial Sourcing,Chemical Safety",Denmark,"Sep-15,Sep-16,Aug-17,Aug-18,Jun-19","Textiles, Apparel & Luxury Goods","3%,11%,27%,22%,11%,14%,14%","CCC,B,BB,BBB,A,AA,AAA","AA,AAA,AAA,AAA,AAA"
IID000000002432356,"Corporate Governance,Opportunities in Clean Tech,Controversial Sourcing",Human Capital Development,Water Stress,Netherlands,"Jan-16,Jan-17,Jan-18,Mar-19,Feb-20",Semiconductors & Semiconductor Equipment,"9%,21%,21%,21%,14%,11%,4%","CCC,B,BB,BBB,A,AA,AAA","BBB,BB,BB,BB,BB"
IID000000002576329,"Corporate Governance,Chemical Safety","Product Safety & Quality,Opportunities in Clean Tech","Carbon Emissions,Toxic Emissions & Waste,Water Stress",Denmark,"Jan-16,Feb-17,Feb-18,Mar-19,Feb-20",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
