,AVERAGE,ESG LAGGARD,ESG LEADER,country,date,industry,percent_rating,rating,rating_history
IID000000002125650,Labor Management,nan,"Corporate Governance,Biodiversity & Land Use,Carbon Emissions,Toxic Emissions & Waste,Health & Safety",Ireland,"May-15,May-16,May-17,May-18,Jul-19",Construction Materials,"19%,19%,19%,19%,6%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002125950,"Corruption & Instability,Labor Management",Product Safety & Quality,"Corporate Governance,Opportunities in Clean Tech",Netherlands,"Nov-15,Nov-16,Dec-17,Dec-18,Nov-19",Aerospace & Defense,"23%,8%,18%,18%,20%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","A,A,BBB,BBB,BBB"
IID000000002126002,Carbon Emissions,nan,"Corporate Governance,Labor Management,Product Safety & Quality",United Kingdom,"Aug-16,Sep-17,Sep-18,Mar-19,Jan-20",Airlines,"13%,17%,30%,17%,17%,0%,4%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002126501,"Product Safety & Quality,Corruption & Instability,Toxic Emissions & Waste",Access to Health Care,"Corporate Governance,Human Capital Development",Switzerland,"Aug-16,Sep-17,Sep-18,Mar-19,Jan-20",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,A,A,AA,A"
IID000000002127391,"Labor Management,Product Safety & Quality",Opportunities in Clean Tech,"Corporate Governance,Corruption & Instability",United Kingdom,"Nov-15,Nov-16,Dec-17,Dec-18,Jul-19",Aerospace & Defense,"23%,8%,18%,18%,20%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002127715,"Biodiversity & Land Use,Toxic Emissions & Waste",nan,"Corporate Governance,Corruption & Instability,Health & Safety,Labor Management,Water Stress,Carbon Emissions",Norway,"Nov-15,Dec-16,Dec-17,Dec-18,Jul-19",Metals and Mining - Non-Precious Metals,"16%,26%,22%,12%,19%,3%,2%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AA,AA"
IID000000002127907,"Corruption & Instability,Carbon Emissions",nan,"Corporate Governance,Biodiversity & Land Use,Health & Safety,Toxic Emissions & Waste",Austria,"Aug-15,Aug-16,Jul-17,Jul-18,Oct-19",Integrated Oil & Gas,"6%,19%,13%,23%,19%,10%,10%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002128271,"Corruption & Instability,Product Safety & Quality",Carbon Emissions,"Corporate Governance,Human Capital Development",Denmark,"Nov-15,Nov-16,Nov-17,Dec-18,Jun-19",Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,A"
IID000000002128280,"Corporate Governance,Privacy & Data Security,Carbon Emissions",nan,Human Capital Development,Netherlands,"Feb-16,Sep-16,Mar-17,Apr-18,Nov-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","AA,A,A,AA,AAA"
IID000000002128288,"Corruption & Instability,Labor Management",nan,"Corporate Governance,Opportunities in Clean Tech",United Kingdom,"Sep-16,Aug-17,Aug-18,Feb-19,Feb-20",Industrial Conglomerates,"3%,13%,34%,11%,24%,5%,11%","CCC,B,BB,BBB,A,AA,AAA","A,A,AA,AA,AA"
IID000000002128376,"Human Capital Development,Privacy & Data Security",nan,"Corporate Governance,Raw Material Sourcing",United Kingdom,"Mar-15,Mar-16,Feb-17,Mar-18,Sep-19",Media & Entertainment,"8%,23%,21%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,A,AA,AA"
IID000000002128620,"Corporate Governance,Product Safety & Quality,Corruption & Instability,Human Capital Development,Access to Health Care,Toxic Emissions & Waste",nan,nan,Italy,"Nov-15,Sep-16,Sep-17,Sep-18,Jul-19",Pharmaceuticals,"2%,30%,24%,16%,21%,5%,2%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002129057,Toxic Emissions & Waste,"Carbon Emissions,Water Stress,Opportunities in Clean Tech","Corporate Governance,Chemical Safety",Norway,"Feb-15,Feb-16,Feb-17,May-18,Sep-19",Specialty Chemicals,"9%,11%,13%,22%,16%,15%,15%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BB"
IID000000002129110,"Corruption & Instability,Toxic Emissions & Waste","Labor Management,Opportunities in Clean Tech",Corporate Governance,United Kingdom,"Jan-15,Jan-16,Feb-17,Mar-18,May-19",Industrial Machinery,"7%,11%,11%,23%,21%,21%,5%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002129162,"Labor Management,Water Stress,Carbon Emissions",nan,Corporate Governance,United Kingdom,"Sep-15,Sep-16,Jun-17,Jun-18,Nov-19",Hotels & Travel,"15%,20%,15%,20%,5%,20%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002130138,"Corporate Governance,Human Capital Development,Toxic Emissions & Waste,Water Stress",nan,"Biodiversity & Land Use,Carbon Emissions,Opportunities in Renewable Energy",Germany,"Jul-16,Oct-16,Oct-17,Oct-18,Jul-19",Utilities,"7%,12%,18%,19%,19%,18%,7%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
IID000000002130215,"Corporate Governance,Product Safety & Quality",Labor Management,Carbon Emissions,Germany,"Aug-15,Aug-16,Sep-17,Oct-18,Oct-19",Airlines,"13%,17%,30%,17%,17%,0%,4%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002130820,"Labor Management,Product Safety & Quality,Opportunities in Clean Tech",nan,"Corporate Governance,Corruption & Instability",Germany,"Jul-15,Jul-16,Aug-17,Aug-18,Nov-19",Aerospace & Defense,"23%,8%,18%,18%,20%,13%,3%","CCC,B,BB,BBB,A,AA,AAA","A,AA,AA,AA,AA"
IID000000002132055,Carbon Emissions,Human Capital Development,"Corporate Governance,Privacy & Data Security,Opportunities in Clean Tech",Ireland,"Jun-16,Jun-17,Jun-18,Mar-19,Feb-20",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002132144,nan,"Toxic Emissions & Waste,Health & Safety,Opportunities in Clean Tech","Corporate Governance,Carbon Emissions",Sweden,"Feb-15,Feb-16,Feb-17,Mar-18,Aug-19",Building Products,"5%,5%,5%,11%,32%,37%,5%","CCC,B,BB,BBB,A,AA,AAA","AA,AA,AA,AA,AA"
